Wall time,Step,Value
1682428212.0837975,0,178305.125
1682428219.8918352,1,144106.25
1682428227.8447258,2,143540.40625
1682428235.7122614,3,143151.625
1682428243.3875952,4,143023.28125
1682428250.9898949,5,143237.484375
1682428258.6400645,6,143039.0
1682428266.121512,7,143809.765625
1682428273.5046368,8,143228.875
1682428280.9935675,9,142554.828125
1682428288.8915963,10,142859.890625
1682428296.5927925,11,132525.3125
1682428304.2883463,12,103769.7890625
1682428312.1690295,13,76797.1328125
1682428319.947795,14,72507.9140625
1682428327.8895245,15,70050.0390625
1682428335.7341058,16,68300.328125
1682428343.0432012,17,66882.296875
1682428350.5264564,18,65038.8671875
1682428358.3153508,19,60151.48046875
1682428366.0237422,20,48927.90234375
1682428373.636513,21,41281.8515625
1682428381.1955605,22,37136.4765625
1682428388.9845698,23,35223.40625
1682428397.0127351,24,33067.640625
1682428404.8649464,25,31954.923828125
1682428412.4933,26,30701.79296875
1682428419.9531393,27,30144.14453125
1682428427.317625,28,29254.083984375
1682428434.8989387,29,29154.462890625
1682428442.2715523,30,28942.724609375
1682428449.65623,31,28425.638671875
1682428457.4054458,32,28023.833984375
1682428465.362169,33,27844.80078125
1682428472.925859,34,27427.80078125
1682428480.4125695,35,27276.73828125
1682428487.9610162,36,26804.095703125
1682428495.9407241,37,26762.509765625
1682428503.6190171,38,26523.57421875
1682428511.4558158,39,26183.013671875
1682428519.2544858,40,26106.095703125
1682428527.0801852,41,25902.345703125
1682428534.8059309,42,25457.015625
1682428542.612355,43,25314.208984375
1682428550.3000405,44,24929.365234375
1682428558.0865088,45,24706.091796875
1682428565.844732,46,24399.255859375
1682428573.5955129,47,23829.693359375
1682428581.3493407,48,23354.0234375
1682428589.1021852,49,22769.615234375
1682428596.9365265,50,21985.998046875
1682428604.8185942,51,21120.625
1682428612.464513,52,20280.365234375
1682428620.2658293,53,19686.443359375
1682428628.38735,54,19160.248046875
1682428636.3294668,55,18523.916015625
1682428644.16892,56,17628.7890625
1682428652.1289246,57,16675.09765625
1682428659.988559,58,16043.71484375
1682428667.7966704,59,15214.3779296875
1682428675.5881853,60,14405.2666015625
1682428683.4563704,61,13767.2978515625
1682428691.3833714,62,13001.42578125
1682428699.2691784,63,12352.03515625
1682428706.7738492,64,12096.29296875
1682428714.4948092,65,11292.404296875
1682428722.1728256,66,10831.8017578125
1682428729.8493488,67,10684.990234375
1682428737.3687577,68,10312.1953125
1682428744.9422796,69,9890.458984375
1682428752.6884174,70,9471.0791015625
1682428760.4323397,71,9473.7041015625
1682428768.8429048,72,9409.5703125
1682428777.1323874,73,9007.443359375
1682428785.4741042,74,9152.556640625
1682428793.4983404,75,9010.9375
1682428801.1778457,76,8928.01171875
1682428808.7753344,77,9268.7392578125
1682428816.2795818,78,9221.021484375
1682428823.71817,79,9445.0439453125
1682428831.2808332,80,9238.3349609375
1682428838.8273442,81,8918.8828125
1682428846.7268627,82,8732.15625
1682428854.6421635,83,8367.3994140625
1682428862.538412,84,8186.13232421875
1682428870.5552819,85,7811.79345703125
1682428878.0855703,86,8117.41845703125
1682428885.6595256,87,7756.6923828125
1682428893.3991008,88,7636.65625
1682428901.2672687,89,7591.37646484375
1682428909.1730514,90,7209.21484375
1682428917.15624,91,7187.384765625
1682428925.1533902,92,7137.56640625
1682428932.8365386,93,7092.70361328125
1682428940.4099116,94,7138.9794921875
1682428948.1259508,95,6880.1982421875
1682428956.086488,96,6905.03369140625
1682428963.9707198,97,6580.5087890625
1682428971.910761,98,6507.2431640625
1682428979.6552272,99,6386.64501953125
1682428987.2188144,100,6450.43359375
1682428995.0384257,101,6322.3427734375
1682429002.8628554,102,6417.81396484375
1682429010.8073273,103,6871.13330078125
1682429018.9018931,104,6336.65771484375
1682429026.7564058,105,6194.9912109375
1682429034.574072,106,6104.4970703125
1682429042.5538013,107,6297.8232421875
1682429050.4141698,108,6510.97021484375
1682429058.221603,109,5962.46337890625
1682429066.1933234,110,6051.9111328125
1682429073.7199438,111,5822.6640625
1682429081.057942,112,5787.27294921875
1682429088.4059043,113,6033.96337890625
1682429095.8244457,114,5447.66259765625
1682429103.269238,115,5437.22705078125
1682429110.6403039,116,5535.236328125
1682429117.980438,117,5770.62646484375
1682429125.396623,118,5416.390625
1682429132.8732314,119,5408.16015625
1682429140.4072807,120,5270.212890625
1682429147.7988968,121,5308.8154296875
1682429155.604686,122,5217.3046875
1682429163.5134327,123,5445.04443359375
1682429171.346692,124,5221.99853515625
1682429179.151461,125,5596.6181640625
